sid,edf,band_name,peak_freq,peak_psd,iso_bp,iso_bp_n,DTWDistToSinglePeak
sub-090,/data/haoqisun/ShenShiqian_WangWei_project/MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-090/eeg/sub-090_task-sleep_run-2_eeg.edf,alpha,0.0188679245283018,0.0377294077262968,0.0005750717602619,0.3658275892180623,21.8153948950573
sub-076,/data/haoqisun/ShenShiqian_WangWei_project/MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-076/eeg/sub-076_task-sleep_run-2_eeg.edf,sigma,0.0241228070175438,0.0435126342399511,0.0005013890128414,0.2892376575086658,21.937914759972273
sub-057,/data/haoqisun/ShenShiqian_WangWei_project/MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-057/eeg/sub-057_task-sleep_run-1_eeg.edf,alpha,0.0167322834645669,0.0477481954008639,0.0007326883654104,0.4162679398539795,22.700784060335955
sub-072,/data/haoqisun/ShenShiqian_WangWei_project/MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-072/eeg/sub-072_task-sleep_run-1_eeg.edf,sigma,0.0183615819209039,0.0505031934940236,0.0008233433858386,0.3800741540547173,23.46256271824153
sub-083,/data/haoqisun/ShenShiqian_WangWei_project/MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-083/eeg/sub-083_task-sleep_run-1_eeg.edf,alpha,0.0170731707317073,0.054318592622422,0.0008057495881782,0.4049482980352416,25.15316246223295
sub-082,/data/haoqisun/ShenShiqian_WangWei_project/MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-082/eeg/sub-082_task-sleep_run-2_eeg.edf,alpha,0.0172955974842767,0.0446095986582341,0.0006176756199708,0.3952420133358103,26.17515755773183
sub-006,/data/haoqisun/ShenShiqian_WangWei_project/MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-006/eeg/sub-006_task-sleep_run-1_eeg.edf,alpha,0.0180851063829787,0.0484816111212307,0.0007720891634848,0.3833211493136315,26.588686481139643
sub-087,/data/haoqisun/ShenShiqian_WangWei_project/MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-087/eeg/sub-087_task-sleep_run-5_eeg.edf,alpha,0.0185185185185185,0.037018588888219,0.0005787252558966,0.3464916466214451,26.692221413362308
sub-073,/data/haoqisun/ShenShiqian_WangWei_project/MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-073/eeg/sub-073_task-sleep_run-2_eeg.edf,sigma,0.0178571428571428,0.0436023756819589,0.0006677820981149,0.4295168809639664,29.40440067377521
sub-071,/data/haoqisun/ShenShiqian_WangWei_project/MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-071/eeg/sub-071_task-sleep_run-1_eeg.edf,alpha,0.0151006711409395,0.0477131366393048,0.0007167152812428,0.3274725091895789,29.413151649508503
sub-084,/data/haoqisun/ShenShiqian_WangWei_project/MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-084/eeg/sub-084_task-sleep_run-2_eeg.edf,alpha,0.0205696202531645,0.0453359608636398,0.0006531172826089,0.3545479416483796,30.696118388522077
sub-077,/data/haoqisun/ShenShiqian_WangWei_project/MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-077/eeg/sub-077_task-sleep_run-1_eeg.edf,sigma,0.0118243243243243,0.0515428263628676,0.0007474121216511,0.4012086013330387,31.476459007398667
sub-079,/data/haoqisun/ShenShiqian_WangWei_project/MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-079/eeg/sub-079_task-sleep_run-1_eeg.edf,sigma,0.0200534759358288,0.0367897978664138,0.0006215719328603,0.3638174999934471,32.92699824212375
sub-008,/data/haoqisun/ShenShiqian_WangWei_project/MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-008/eeg/sub-008_task-sleep_run-1_eeg.edf,alpha,0.01878612716763,0.0419485918234952,0.000713827644288,0.3496891490178702,33.087288364695794
sub-076,/data/haoqisun/ShenShiqian_WangWei_project/MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-076/eeg/sub-076_task-sleep_run-1_eeg.edf,sigma,0.0171428571428571,0.0534172216997195,0.0009011364326875,0.3929055796522998,33.139440427191026
