band1,band2,n_subjects,spearman_corr,spearman_p_value,plv,plv_z,plv_p_value,granger_f,granger_p_value,spearman_p_value_fdr,plv_p_value_fdr,granger_p_value_fdr
alpha,beta,7,,,,,,1.8416385627134757,7.272308695530425e-05,,,0.0001789830215055501
alpha,delta,7,0.07547617893033791,0.12421592929913626,0.12814676155573287,3.820026119580048,0.0006748829531369302,1.7188130383926024,2.7784252579614514e-06,0.14332607226823413,0.0007787110997733809,4.167637886942177e-05
alpha,gamma,7,,,,,,1.7873377553362848,0.00010950667319917133,,,0.00020532501224844625
alpha,sigma,7,,,,,,1.6254201006264508,3.6526252028788764e-05,,,0.00011571762423278527
alpha,theta,7,0.6958951442439159,2.723255437942828e-05,0.6166515334240975,23.190027749502367,1.7657612960491873e-06,1.8358620305897058,8.352541003592338e-05,7.332989556031582e-05,6.621604860184452e-06,0.0001789830215055501
beta,alpha,7,0.6831989042858929,3.726279480749528e-06,0.6025524324011048,20.89177938780647,8.660173612571723e-07,2.3855237090254207,2.251739803848298e-05,2.0789257264949453e-05,4.330086806285861e-06,0.00011571762423278527
beta,delta,7,0.006770713170062206,0.8823929655711558,0.11017013790027329,2.9054905372607975,0.0017712285262415186,1.7406559544123859,0.00026132176131529576,0.8823929655711558,0.0018977448495444843,0.00037339133092219393
beta,gamma,7,,,,,,1.8921719051963812,8.451870733564374e-06,,,8.451870733564373e-05
beta,sigma,7,0.762898665472095,1.6485147468768395e-06,0.6807243266603683,22.948395348179336,1.34887928845265e-07,2.138002582836085,9.192814650630774e-05,2.0789257264949453e-05,2.023318932678975e-06,0.00018385629301261548
beta,theta,7,0.5424908328062928,0.00022400185805055215,0.47234735024272956,17.7434990954494,1.4309056445439126e-05,2.4512457502370464,4.242979555202126e-05,0.0003733364300842536,2.6829480835198362e-05,0.00011571762423278527
delta,alpha,7,,,,,,1.5452296849674922,0.0009626967568852552,,,0.0011108039502522175
delta,beta,7,,,,,,1.545364609975016,0.00026137393164553575,,,0.00037339133092219393
delta,gamma,7,,,,,,1.612315519450495,8.189498734845968e-05,,,0.0001789830215055501
delta,sigma,7,,,,,,1.5652281825241243,0.002578130209492823,,,0.002864589121658692
delta,theta,7,,,,,,1.44111130535732,0.0008932327510434869,,,0.0010718793012521842
gamma,alpha,7,0.4994100795348614,5.820198311795384e-05,0.44464574155703873,16.29276888266235,2.6863126996301296e-05,2.2633144039084,2.453541280678359e-05,0.00012471853525275822,4.477187832716883e-05,0.00011571762423278527
gamma,beta,7,0.6599569340141777,2.1003274550221488e-05,0.5968007784531372,20.697152926421726,4.6439193670436935e-06,2.190527049935064,0.00014730758412679457,7.332989556031582e-05,1.3931758101131081e-05,0.0002498183946550244
gamma,delta,7,-0.09674139073471211,0.12355317280676406,0.1373982497248445,4.390534973571847,0.0033484805653093857,1.6828277179501907,0.000765499316115484,0.14332607226823413,0.0033484805653093857,0.000956874145144355
gamma,sigma,7,0.5434368511513379,2.9331958224126332e-05,0.4887147779805214,17.506785152295848,6.4094036400161144e-06,2.456099102071214,2.228396689043753e-05,7.332989556031582e-05,1.6023509100040284e-05,0.00011571762423278527
gamma,theta,7,0.37473959109668203,0.0010812478235204055,0.34060040621352455,12.88196778909069,0.00039094771538031385,2.2657553350351756,3.900074589450631e-05,0.0016218717352806083,0.0005331105209731553,0.00011571762423278527
sigma,alpha,7,0.7515337496698659,4.157851452989891e-06,0.6599722025166048,22.93082007269665,4.574284514462848e-07,2.189479444058218,3.1616536886287134e-07,2.0789257264949453e-05,3.430713385847136e-06,9.48496106588614e-06
sigma,beta,7,,,,,,1.6252786881949315,0.00019047044128537975,,,0.000300742802029547
sigma,delta,7,0.02760635630040582,0.4957546506864198,0.11346254803461318,3.099370427249314,0.0006285964186279502,1.5624869086387159,0.004378883598953256,0.5311656971640212,0.0007787110997733809,0.004529879585124058
sigma,gamma,7,,,,,,1.853184113648482,3.810523293510804e-05,,,0.00011571762423278527
sigma,theta,7,0.5457957485779261,0.00012170802758604871,0.46444885226389904,17.257103885839452,1.0625644711014371e-05,2.2880272549871092,0.00014989103679301463,0.00022820255172384133,2.2769238666459366e-05,0.0002498183946550244
theta,alpha,7,,,,,,1.5437850703763247,0.003441787806346216,,,0.003687629792513803
theta,beta,7,,,,,,1.5789774818989886,0.0006019136900056311,,,0.0007851048130508232
theta,delta,7,0.203971607463102,0.0034587927114218165,0.20046424975850194,6.866201463682415,0.0003768391740595641,1.689092389234496,3.8138893446074996e-05,0.004716535515575205,0.0005331105209731553,0.00011571762423278527
theta,gamma,7,,,,,,1.5610120354523356,0.000513034993757085,,,0.0006995931733051159
theta,sigma,7,,,,,,1.511698335437431,0.0062632006805927,,,0.0062632006805927
