band1,band2,n_subjects,spearman_corr,spearman_p_value,plv,plv_z,plv_p_value,granger_f,granger_p_value,spearman_p_value_fdr,plv_p_value_fdr,granger_p_value_fdr
alpha,beta,6,,,,,,1.9014394055628694,0.00011382816937752105,,,0.00021342781758285198
alpha,delta,6,0.2697459405652496,0.00016790115793755198,0.2689470870601553,16.165384105869233,7.358001908415723e-05,1.5473210852279689,0.000994640840077743,0.00017989409779023427,7.909317013861032e-05,0.0010656866143690105
alpha,gamma,6,,,,,,1.856814682288433,4.438304480190321e-05,,,0.00013929178157857632
alpha,sigma,6,,,,,,1.665720909099072,0.0005018924960565645,,,0.0005791067262191129
alpha,theta,6,0.8119940423358668,1.7199120949446357e-08,0.743125591082732,40.60859520582925,5.43374097790994e-07,1.8146180181550362,4.6715068476905714e-05,8.434780880480922e-08,3.282432704781761e-06,0.00013929178157857632
beta,alpha,6,0.7737408139885907,4.882658633255866e-09,0.7264920512056037,38.01977512551053,1.4811125690250856e-06,2.1244301299605834,8.344861028939441e-05,3.885299938722174e-08,3.282432704781761e-06,0.00019257371605244865
beta,delta,6,0.25755039481497194,0.00012760981586673305,0.2632409959153754,15.09103212444713,7.382029212936964e-05,1.6661735215713416,0.0001745011409570956,0.0001595122698334163,7.909317013861032e-05,0.0002617517114356434
beta,gamma,6,,,,,,1.9627730127428424,1.9201770176308822e-06,,,5.760531052892647e-05
beta,sigma,6,0.8259528722679041,2.249274901461579e-08,0.777576308547418,39.57817085396626,1.5318019288981553e-06,2.167110485978282,4.1162742276172605e-05,8.434780880480922e-08,3.282432704781761e-06,0.00013929178157857632
beta,theta,6,0.6688129474139103,1.164366465264458e-07,0.6135895221867141,33.19262817611291,1.459492434635892e-06,2.107303976637238,0.0001231000497773903,2.910916163161145e-07,3.282432704781761e-06,0.0002144975483179034
delta,alpha,6,,,,,,1.5090941591873035,0.00045193498492993863,,,0.0005649187311624232
delta,beta,6,,,,,,1.8119627434397383,0.0011555603564466625,,,0.0011954072652896508
delta,gamma,6,,,,,,1.7425249318163942,0.0031115624652044613,,,0.0031115624652044613
delta,sigma,6,,,,,,1.5659923803472298,0.0004976146162894269,,,0.0005791067262191129
delta,theta,6,,,,,,1.470239084869986,0.00035737037482274264,,,0.00046613527150792515
gamma,alpha,6,0.6220998558935963,3.7351049406165982e-06,0.5528422461971482,30.347265251483833,4.507463746139007e-06,1.8554688143375995,5.107365324547798e-05,8.003796301321282e-06,7.512439576898344e-06,0.00013929178157857632
gamma,beta,6,0.7269958918187016,5.987786234992178e-06,0.6526439013270877,34.07911439430038,1.387001914739142e-06,1.902552583510353,0.00023675006763611544,9.979643724986964e-06,3.282432704781761e-06,0.0003228410013219756
gamma,delta,6,0.15574731395739447,4.2219979518014784e-05,0.14822072820946353,8.251984741559186,3.998703038817499e-05,1.677236224263986,0.0001110896622150156,5.757269934274744e-05,5.4527768711147716e-05,0.00021342781758285198
gamma,sigma,6,0.6506325562771864,4.366662761006479e-06,0.5853963116174308,31.514753274396508,2.45230235043062e-06,1.9092771156627724,4.51031213149067e-05,8.187492676887148e-06,4.598066907057413e-06,0.00013929178157857632
gamma,theta,6,0.5257572892215342,1.4976909818790358e-05,0.4596528082769753,26.51786190800709,7.0384665091991535e-06,1.8588033924798093,1.2194305354244022e-05,2.246536472818554e-05,1.055769976379873e-05,0.00012194305354244021
sigma,alpha,6,0.8307070719910205,5.180399918296232e-09,0.7785519401835176,40.388729738485665,8.173120024394072e-07,1.7686743242133838,9.259611418326684e-06,3.885299938722174e-08,3.282432704781761e-06,0.00012194305354244021
sigma,beta,6,,,,,,1.8873138916925916,2.972632825002485e-05,,,0.00013929178157857632
sigma,delta,6,0.25994842342541835,0.00015036666934473554,0.2645777123785444,15.625893304646203,6.387111647944089e-05,1.5233617456385702,0.000875934094272063,0.00017350000309007945,7.909317013861032e-05,0.0009732601047467367
sigma,gamma,6,,,,,,1.8939811920457343,0.00010322059220040024,,,0.00021342781758285198
sigma,theta,6,0.6792733044042976,5.1924260058788956e-08,0.622021871744651,34.09360825547887,1.1715230711059107e-06,1.960490577842817,0.00012908475424500604,1.5577278017636687e-07,3.282432704781761e-06,0.0002144975483179034
theta,alpha,6,,,,,,1.493265441900759,8.139776235499889e-05,,,0.00019257371605244865
theta,beta,6,,,,,,1.7449792669253619,0.00022112570867882642,,,0.00031589386954118063
theta,delta,6,0.2748303834532811,0.000880926843446763,0.2577138992674775,15.334036841086103,0.0005462598847889285,1.5894348965054663,4.470639336905873e-05,0.000880926843446763,0.0005462598847889285,0.00013929178157857632
theta,gamma,6,,,,,,1.6591161077328218,0.00013584844726800547,,,0.0002144975483179034
theta,sigma,6,,,,,,1.643536584137866,2.6949286945415036e-05,,,0.00013929178157857632
