sid,edf,band_name,peak_freq,peak_psd,iso_bp,iso_bp_n
sub-001,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-001/eeg/sub-001_task-sleep_run-1_eeg.edf,gamma,0.024350649350649352,12.54136565240392,0.21073803836232535,0.20699181125957541
sub-001,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-001/eeg/sub-001_task-sleep_run-1_eeg.edf,beta,0.025974025974025976,11.03243174913007,0.18151323448638945,0.21152381485745242
sub-001,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-001/eeg/sub-001_task-sleep_run-1_eeg.edf,sigma,0.040584415584415584,10.8580946182815,0.17076803413882424,0.19888087523066125
sub-001,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-001/eeg/sub-001_task-sleep_run-1_eeg.edf,alpha,0.09902597402597403,7.922762285596786,0.11795687052376233,0.20165507207137603
sub-001,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-001/eeg/sub-001_task-sleep_run-1_eeg.edf,theta,0.0275974025974026,5.31493450650418,0.08840467437807978,0.20072410765484494
sub-001,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-001/eeg/sub-001_task-sleep_run-1_eeg.edf,delta,0.008116883116883118,19.175903087573335,0.25546019666302694,0.24979545908910286
sub-002,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-002/eeg/sub-002_task-sleep_run-1_eeg.edf,gamma,0.017857142857142856,0.7606751328444155,0.012964665288062704,0.28833196914278675
sub-002,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-002/eeg/sub-002_task-sleep_run-1_eeg.edf,beta,0.016581632653061222,4.3810581590900615,0.07369383243025769,0.380331974090657
sub-002,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-002/eeg/sub-002_task-sleep_run-1_eeg.edf,sigma,0.016581632653061222,8.31499992627321,0.13850308986488358,0.403396587409693
sub-002,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-002/eeg/sub-002_task-sleep_run-1_eeg.edf,alpha,0.015306122448979591,4.763071938545092,0.07809566680052728,0.38316143855475043
sub-002,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-002/eeg/sub-002_task-sleep_run-1_eeg.edf,theta,0.015306122448979591,2.102981314439797,0.03428319494189534,0.34268599558799706
sub-002,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-002/eeg/sub-002_task-sleep_run-1_eeg.edf,delta,0.0063775510204081625,3.8166071649291036,0.03520248413304875,0.2562801365394471
sub-003,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-003/eeg/sub-003_task-sleep_run-1_eeg.edf,gamma,0.0211864406779661,0.6893684963107888,0.011296433638878285,0.30308440531531206
sub-003,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-003/eeg/sub-003_task-sleep_run-1_eeg.edf,beta,0.019067796610169493,2.0255405629794363,0.03260982680168948,0.42232729655649504
sub-003,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-003/eeg/sub-003_task-sleep_run-1_eeg.edf,sigma,0.019067796610169493,4.600118456670484,0.07363109596651159,0.42060796002699613
sub-003,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-003/eeg/sub-003_task-sleep_run-1_eeg.edf,alpha,0.019067796610169493,4.983894911663225,0.08034260888305433,0.4295072886166376
sub-003,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-003/eeg/sub-003_task-sleep_run-1_eeg.edf,theta,0.019067796610169493,2.74003228784554,0.04419823021585813,0.39538677803437466
sub-003,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-003/eeg/sub-003_task-sleep_run-1_eeg.edf,delta,0.006355932203389831,1.510617414025894,0.018816357266601212,0.2293261201600542
sub-004,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-004/eeg/sub-004_task-sleep_run-1_eeg.edf,gamma,0.022727272727272728,0.5385513816773017,0.009420719856096606,0.2814668079279495
sub-004,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-004/eeg/sub-004_task-sleep_run-1_eeg.edf,beta,0.019230769230769232,1.2243255568477551,0.021525311027146443,0.37605365838856486
sub-004,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-004/eeg/sub-004_task-sleep_run-1_eeg.edf,sigma,0.017482517482517484,2.9945184274342243,0.05089894718692531,0.3748209437621189
sub-004,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-004/eeg/sub-004_task-sleep_run-1_eeg.edf,alpha,0.017482517482517484,2.713466328681232,0.046717023015347324,0.36116442806743504
sub-004,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-004/eeg/sub-004_task-sleep_run-1_eeg.edf,theta,0.017482517482517484,1.3308941927477234,0.023731090487367972,0.3215017247406026
sub-004,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-004/eeg/sub-004_task-sleep_run-1_eeg.edf,delta,0.005244755244755245,3.7230689475043035,0.05169802739109302,0.30169136381583683
sub-005,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-005/eeg/sub-005_task-sleep_run-1_eeg.edf,gamma,0.01639344262295082,0.9881171314153451,0.01696238620097535,0.3190294035633387
sub-005,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-005/eeg/sub-005_task-sleep_run-1_eeg.edf,beta,0.014344262295081968,3.720294672325833,0.061042312430604095,0.423892792057963
sub-005,../MSSV_mice_sleep_staging_dataset_openneuro_ds006366/sub-005/eeg/sub-005_task-sleep_run-1_eeg.edf,sigma,0.012295081967213115,6.90502690373267,0.11327744994718428,0.42487079798815053
