band1,band2,n_subjects,spearman_corr,spearman_p_value,plv,plv_z,plv_p_value,granger_f,granger_p_value,spearman_p_value_fdr,plv_p_value_fdr,granger_p_value_fdr
alpha,beta,10,,,,,,2.268714478410476,5.272240718987372e-07,,,8.32459060892743e-07
alpha,delta,10,0.0873058959252527,0.12231740243095537,0.13030280696333366,14.083791925821998,6.660346816415797e-05,1.7962710051432125,5.402020666008371e-08,0.1517466199132108,7.13608587473121e-05,2.090544437511782e-07
alpha,gamma,10,,,,,,1.8734013356685615,5.794044918175318e-07,,,8.691067377262978e-07
alpha,sigma,10,,,,,,2.209833157911558,1.6256892741135258e-07,,,3.4836198731004126e-07
alpha,theta,10,0.7931271284151078,5.514098489055182e-10,0.7277940416639131,84.12350480816995,2.7660235924770556e-09,2.132026553564389,9.341114390117418e-09,2.4856787596588305e-09,2.0745176943577916e-08,1.4011671585176128e-07
beta,alpha,10,0.7538520053992169,1.927363403965231e-10,0.6900184571311363,78.99161193898951,1.7293842479235858e-08,1.9546267602975136,2.5532832084869803e-08,1.4455225529739231e-09,4.323460619808964e-08,1.9264340241912293e-07
beta,delta,10,0.0960626722632943,0.13151373725811605,0.12949372316083513,13.509955747128004,5.146258720401762e-05,1.749989115736715,1.1500966814436258e-06,0.1517466199132108,6.576568985474872e-05,1.5001261062308161e-06
beta,gamma,10,,,,,,1.816598052170098,5.5747851666980854e-08,,,2.090544437511782e-07
beta,sigma,10,0.8063795720100083,6.628476692423548e-10,0.7402268021190006,83.07077440570615,6.924070841189817e-09,2.0613336047371664,7.194214415068998e-08,2.4856787596588305e-09,3.462035420594908e-08,2.398071471689666e-07
beta,theta,10,0.6823898041286951,9.12756518363048e-09,0.6121817994327252,71.57263046445419,1.2398623913258536e-08,2.0978820795739823,3.8115126715176044e-08,2.28189129590762e-08,3.7195871739775607e-08,1.9264340241912293e-07
delta,alpha,10,,,,,,1.641922878626346,1.865128114121245e-07,,,3.73025622824249e-07
delta,beta,10,,,,,,1.645250915037965,4.307464173540755e-07,,,7.185711016325628e-07
delta,gamma,10,,,,,,1.5081497915279471,1.3902577759336948e-05,,,1.4381976992417533e-05
delta,sigma,10,,,,,,1.6860268966438934,1.3376651234027416e-07,,,3.089844255393609e-07
delta,theta,10,,,,,,1.6374177095225715,1.7617703816318953e-06,,,2.099671538542754e-06
gamma,alpha,10,0.5217821378835146,1.5862874008199016e-07,0.4517428380174026,53.050827681669276,8.313482582636171e-08,1.7707117885846748,2.679339417951673e-06,3.399187287471218e-07,1.7814605534220367e-07,2.8707208049482207e-06
gamma,beta,10,0.5855951338370602,5.435971683764355e-06,0.5145171696799485,59.92975678379545,1.0587577705134343e-07,1.8154646010979154,1.338932510670564e-07,8.347106177213658e-06,1.9851708197126894e-07,3.089844255393609e-07
gamma,delta,10,-0.0061464060071115155,0.9930562127944624,0.12112798591363749,13.094509615211006,0.0006904191211500438,1.6808836444125674,3.330876652976203e-05,0.9930562127944624,0.0006904191211500438,3.330876652976203e-05
gamma,sigma,10,0.5234489321148244,8.59132713771287e-07,0.4669761999774349,54.47117496854548,1.6852297317180987e-07,1.8657220999972364,2.3432766176901816e-07,1.610873838321163e-06,2.5278445975771485e-07,4.3936436581690906e-07
gamma,theta,10,0.46070931894306477,5.5647374514757715e-06,0.39621040296409515,46.13725719831095,1.5462685715238235e-07,1.8812473688591946,2.3320270281293725e-06,8.347106177213658e-06,2.5278445975771485e-07,2.5911411423659695e-06
sigma,alpha,10,0.8190280748058377,4.518274392402695e-11,0.7575167475215154,85.61443987652693,2.697985606601453e-09,1.8405047003408928,2.7584727746625084e-11,6.777411588604043e-10,2.0745176943577916e-08,8.275418323987525e-10
sigma,beta,10,,,,,,2.068028885748651,3.852868048382459e-08,,,1.9264340241912293e-07
sigma,delta,10,0.0848499213429234,0.16218940445380314,0.1276568015995509,13.15783943901709,5.341259769664218e-05,1.7553563830535637,1.1259015522913915e-07,0.17377436191478907,6.576568985474872e-05,3.089844255393609e-07
sigma,gamma,10,,,,,,1.8048441155544057,1.2906989256351157e-07,,,3.089844255393609e-07
sigma,theta,10,0.681366513430741,5.176816840815894e-09,0.613159090177297,71.32835493223399,1.0771139221733285e-08,2.1224867547099686,3.721034466107902e-08,1.5530450522447684e-08,3.7195871739775607e-08,1.9264340241912293e-07
theta,alpha,10,,,,,,1.649507213928855,4.311426609795377e-07,,,7.185711016325628e-07
theta,beta,10,,,,,,1.8054037479121898,1.0886557535912525e-06,,,1.4845305730789807e-06
theta,delta,10,0.1361959756467954,0.04124158478476048,0.15451765043547053,17.205125802479976,5.699693120744889e-05,1.7394407041673106,7.919728051632491e-07,0.056238524706491565,6.576568985474872e-05,1.1313897216617845e-06
theta,gamma,10,,,,,,1.7608553942541785,1.8197153334037202e-06,,,2.099671538542754e-06
theta,sigma,10,,,,,,1.8696221271690479,1.4827113378798978e-06,,,1.853389172349872e-06
